Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
the ^ati++++=the
69 ^cd++++=69
articles ^nns++++=articles
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
established ^jj+atrb++xvbn+=established
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
opted ^vbd+++xvbn+=opted
to ^to++++=to
separate ^nn+nom+++=separate
teaching ^nvbg+++xvbg+=teaching
levels ^nns++++=levels
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
identify ^vbi++++=identify
at ^in++++=at
which ^whp+rel+pied++=which
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
academic ^jj+atrb+++=academic
trajectory ^nn++++=trajectory
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
greater ^jjr+atrb+++=greater
presence ^nn+nom+++=presence
of ^in++++=of
research ^nn++++=research
on ^in++++=on
gestures ^nns++++=gestures
in ^in+cmpx+++=in
the ^in"++++=the
process ^in"++++=process
of ^in"++++=of
teaching ^xvbg+++xvbg+=teaching
and ^cc++++=and
learning ^xvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
made ^vbd+++xvbn+=made
a ^at++++=a
historical ^jj+atrb+++=historical
sequence ^nn+nom+++=sequence
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
by ^in++++=by
publication ^nn+nom+++=publication
date ^nn++++=date,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we
could ^md+pos+++=could
detect ^vb++++=detect
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
increase ^nn++++=increase
or ^cc++++=or
not ^xnot++not++=not
of ^in++++=of
publication ^nn+nom+++=publication
in ^in++++=in
gestures ^nns++++=gestures,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
research ^nn++++=research
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
final ^jj++++=final
grouping ^jj+++xvbg+=grouping
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
found ^vbd+vprv++xvbn+=found
in ^in++++=in
phase ^nn++++=phase
1 ^zz++++=1
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
after ^in++++=after
reading ^xvbg+++xvbg+=reading
the ^ati++++=the
content ^nn++++=content
of ^in++++=of
each ^dt++++=each
article ^nn++++=article,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
categories ^nns++++=categories
emerged ^vbd+++xvbn+=emerged
from ^in++++=from
reading ^nn++++=reading
them ^pp3o+pp3+++=them
naturally ^rb++++=naturally.
. ^zz++++=EXTRAWORD
