Several ^ap++++=Several
issues ^nns++++=issues
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
research ^nn++++=research
on ^in++++=on
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotions ^nns+nom+++=emotions.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
with ^in++++=with
regard ^nn++++=regard
to ^in++++=to
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
and ^cc++++=and
their ^pp$+pp3+++=their
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=existing
studies ^nns++++=studies
often ^rb++++=often
emphasize ^vb++++=emphasize
particular ^jj+atrb+++=particular
tactics ^nns++++=tactics
employed ^vwbn+++xvbn+=employed
by ^in++++=by
teachers ^nns+nom+++=teachers.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Yin ^np+++??+=Yin
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
teachers ^nns+nom+++=teachers
were ^vbd+bed+vrb++=were
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
suppress ^nns+nom+++=suppress
rather ^rb++++=rather
than ^in++++=than
reappraise ^vb++++=reappraise
their ^pp$+pp3+++=their
emotions ^nns+nom+++=emotions
in ^in++++=in
situations ^nns+nom+++=situations
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
emotional ^jj+atrb+++=emotional
exhaustion ^nn+nom+++=exhaustion.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
reappraisal ^nn+nom+++=reappraisal
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
more ^rbr++++=more
positive ^jj+atrb+++=positive
outcomes ^nns+++??+=outcomes,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
suppression ^nn++++=suppression
tends ^vbz++++=tends
to ^to+vcmp+++=to
correlate ^nn+nom+++=correlate
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
exhaustion ^nn+nom+++=exhaustion.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
commonly ^rb++++=commonly
categorize ^vb++++=categorize
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
strategies ^nns+++??+=strategies
as ^ql++++=as
either ^dtx++++=either
adaptive ^nn++++=adaptive
or ^cc++++=or
maladaptive ^jj++++=maladaptive,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
overlook ^vb+vprv+++=overlook
the ^ati++++=the
primary ^jj+atrb+++=primary
functions ^nns+nom+++=functions
of ^in++++=of
these ^dt+dem+++=these
strategies ^nns+++??+=strategies
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
individual ^nn+nom+++=individual
and ^cc++++=and
contextual ^jj+atrb+++=contextual
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
