Previous ^jj++++=Previous
work ^vb++++=work
based ^vbd+++xvbn+=based
on ^in++++=on
empathy ^nn+++??+=empathy-altruism
- ^zz++++=EXTRAWORD
altruism ^nn++++=EXTRAWORD
theory ^nn++++=theory
has ^vbz+hvz+aux++=has
highlighted ^vprf+++xvbnx+=highlighted
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
arousal ^nn+++??+=arousal
feelings ^nns++++=feelings
as ^ql++++=as
antecedents ^nns++++=antecedents
of ^in++++=of
prosocial ^nn+++??+=prosocial
behavior ^nn++++=behavior
( ^zz++++=(Schroeder
schroeder ^nn+++??+=EXTRAWORD
& ^zz++++=&
Graziano ^np+++??+=Graziano,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
qualitative ^jj++++=qualitative
endeavor ^vb+++??+=endeavor
suggested ^vbd+vpub++xvbn+=suggested
nine ^cd++++=nine
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
including ^in++++=including
internal ^jj++++=internal
and ^cc+phrs+++=and
external ^jj++++=external,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
may ^md+pos+++=may
activate ^vb++++=activate
prosocial ^jj+atrb++??+=prosocial
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
external ^jj+atrb+++=external
influences ^nns++++=influences,
, ^zz++++=EXTRAWORD
including ^in++++=including
social ^jj+atrb+++=social
interaction ^nn++++=interaction,
, ^zz++++=EXTRAWORD
peer ^nn++++=peer
influence ^nn++++=influence,
, ^zz++++=EXTRAWORD
role ^nn++++=role
models ^nns++++=models,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
collectivism ^nn+++??+=collectivism
may ^md+pos+++=may
lead ^vb++++=lead
to ^in++++=to
the ^ati++++=the
extension ^nn++++=extension
of ^in++++=of
Eat ^vb++++=EAT
and ^cc++++=and
Tpb ^np+++??+=TPB
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
social ^jj+atrb+++=social
psychology ^nn++++=psychology.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
cues ^nns+++??+=cues
may ^md+pos+++=may
validate ^vb+++??+=validate
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
individual ^jj+atrb+++=individual
mental ^jj+atrb+++=mental
states ^nns++++=states
and ^cc++++=and
socially ^rb++++=socially
fostered ^xvbn+++xvbn+=fostered
feelings ^nns++++=feelings,
, ^zz++++=EXTRAWORD
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behaviors ^nns+++??+=behaviors
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
prosocial ^jj+atrb++??+=prosocial
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
internally ^rb++++=internally
motivated ^vbd+++xvbn+=motivated
cues ^nns+++??+=cues,
, ^zz++++=EXTRAWORD
including ^in++++=including
vicarious ^nns+++??+=vicarious
emotions ^nns++++=emotions,
, ^zz++++=EXTRAWORD
religiosity ^nn+++??+=religiosity,
, ^zz++++=EXTRAWORD
capability ^nn++++=capability,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
volition ^nn++++=volition,
, ^zz++++=EXTRAWORD
provide ^vb+vsua+++=provide
evidence ^nn++++=evidence
that ^tht+rel+obj++=that
individuals ^nns++++=individuals
differ ^vb++++=differ
based ^xvbn+++xvbn+=based
on ^in++++=on
psychological ^jj+atrb+++=psychological
forces ^nns++++=forces.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
consistently ^rb++++=consistently
these ^dt+dem+++=these
cues ^nns+++??+=cues
validated ^nn+++??+=validated
that ^tht+rel+obj++=that
individuals ^nns++++=individuals
psychological ^jj+atrb+++=psychological
processes ^nns++++=processes
involve ^vb++++=involve
the ^ati++++=the
construction ^nn++++=construction
of ^in++++=of
a ^at++++=a
coherent ^jj+atrb+++=coherent
picture ^nn++++=picture
and ^cc++++=and
its ^pp$+it+++=its
psychological ^jj+atrb+++=psychological
processes ^nns++++=processes
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
the ^ati++++=the
society ^nn++++=society.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
developed ^vprf+++xvbnx+=developed
a ^at++++=a
unique ^jj+atrb+++=unique
and ^cc+phrs+++=and
dynamic ^jj+atrb+++=dynamic
set ^nn+++xvbn+=set
of ^in++++=of
characteristics ^nns++++=characteristics.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
